,precision,recall,f1-score,support
FLB,1.0,1.0,1.0,25.0
LLB,1.0,0.96,0.9795918367346939,25.0
LOCA,1.0,1.0,1.0,25.0
LOCAC,0.9615384615384616,1.0,0.9803921568627451,25.0
LR,1.0,1.0,1.0,25.0
MD,0.9259259259259259,1.0,0.9615384615384616,25.0
RI,1.0,1.0,1.0,25.0
RW,1.0,1.0,1.0,25.0
SGATR,1.0,1.0,1.0,25.0
SGBTR,1.0,1.0,1.0,28.0
SLBIC,1.0,0.96,0.9795918367346939,25.0
SLBOC,1.0,0.96,0.9795918367346939,25.0
accuracy,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
macro avg,0.9906220322886989,0.9900000000000002,0.9900588440504405,303.0
weighted avg,0.9907148834541574,0.9900990099009901,0.99015727133707,303.0
