feature,importance
WSTA__max,0.014331882025973523
QMWT__max,0.014060982663336068
WFWB__max,0.011729317625228726
WFWA__max,0.011445353203098418
PWR__max,0.010913803225066318
TAVG__max,0.009162699368378725
STTB__std,0.009001945308030213
TFSB__max,0.008760284105311164
QMGA__max,0.008745658181837071
WTRB__mean,0.008491645184704374
LSGA__min,0.007818721521226757
RHMT__min,0.007698659373870103
RM2__delta,0.007575073857726884
RM3__std,0.007481607473089989
QMGB__max,0.0074559088339038095
WTRB__delta,0.00718241150037362
THB__max,0.007120764103576535
WFLB__max,0.007040510347001971
DNBR__min,0.006822732986342156
STTB__max,0.00679344425962883
RHFL__min,0.006751871332535854
LWRB__mean,0.006710437519652334
WSTB__max,0.006702730814079142
WTRB__max,0.006497433827942317
WTRA__std,0.006439429089332905
WBK__delta,0.006331525663358887
WTRA__mean,0.006216810829370408
RM3__max,0.0061871245609999076
WFLB__last,0.006101896617970804
RM4__std,0.0059575249063948425
WTRA__max,0.0058914558681888015
PWNT__max,0.005891218343215127
DWB__last,0.005812309020771856
DWB__max,0.005809210751838375
WFLB__mean,0.005720661277600209
RM4__max,0.0057082865491668066
TBLD__max,0.005388549741149334
MBK__last,0.005358381122095137
WTRA__delta,0.005343463543977862
DWB__std,0.005261540539675162
PSGB__min,0.0052336626726961636
RM2__mean,0.005130340993307001
n_steps,0.0051175340472777164
WTRB__last,0.005085548316983222
WTRB__std,0.005044956664124204
RM4__delta,0.005027275089010316
WFLB__std,0.004972079308469798
STRB__std,0.00495722396934312
RM1__delta,0.004917033660292982
WCHG__max,0.004862607020466998
TKLV__std,0.004852679051325781
RM2__std,0.004812023502903832
SCMB__min,0.004736265041050377
NSGB__max,0.004722388102351967
WTRA__last,0.0046962106794154355
TKLV__delta,0.004683734493870619
DTHY__std,0.0046441246837148975
HTR__std,0.0046262861785175274
DTHY__max,0.004620782473543969
TCB__max,0.004551085630779401
PSGA__min,0.00451751823259991
NSGA__std,0.004501206272831402
RM3__mean,0.004482340355932248
MBK__delta,0.00445560520086908
DWB__mean,0.004418477972698196
HLW__mean,0.004405494479706508
WSTB__std,0.00440419607315895
LSGB__min,0.004353804382918813
TFPK__max,0.004213545828265064
STTB__mean,0.004200261303123177
LWRB__last,0.004197582521454733
THA__last,0.004167346997412625
WFLB__delta,0.00413911932727073
LVPZ__std,0.004063887672176641
WECS__min,0.004062930224287467
WBK__std,0.004052576867486536
HUP__std,0.004036788192688429
RBLK__max,0.004034694211318783
P__std,0.004023244050885184
WLR__mean,0.004014471776854928
TPCT__max,0.004009506906662696
WLD__last,0.003988709922371562
HLW__max,0.0038931417238150107
DWB__delta,0.003861040017483164
PSGA__mean,0.0038429292780142598
RM1__mean,0.003836910051609164
RM3__last,0.0038176773419774717
WFWB__mean,0.0037801360533147354
TCA__max,0.0037511011961885274
WCHG__std,0.003750933582518341
TAVG__std,0.003679781313062479
SCMB__std,0.0036735008209538788
RM3__delta,0.003668144752109266
WLD__delta,0.0036579357907274906
NSGB__std,0.0036421198865567096
VOL__std,0.003641440340997269
WBK__max,0.003641028749161351
LVPZ__min,0.003630354088455145
